0,5
0,10
0,28
0,32
1,28
1,37
2,24
2,25
2,51
2,77
3,18
3,23
3,27
4,56
4,57
5,0
5,10
5,15
5,54
5,58
6,54
6,63
7,50
7,51
8,18
8,49
8,53
9,82
9,83
10,0
10,5
10,15
10,80
10,84
11,80
11,89
12,76
12,77
13,18
13,75
13,79
14,108
14,109
15,5
15,10
15,106
15,110
16,106
16,115
17,102
17,103
18,3
18,8
18,13
18,101
18,105
19,20
20,19
20,29
21,42
21,44
22,24
22,43
23,3
23,44
24,2
24,22
25,2
25,26
26,25
26,35
27,3
28,0
28,1
29,20
29,30
30,29
30,31
31,30
31,36
32,0
32,38
33,36
33,39
34,38
34,40
35,26
35,41
36,31
36,33
37,1
37,41
37,63
37,89
38,32
38,34
38,90
39,33
39,40
40,34
40,39
41,35
41,37
42,21
42,43
43,22
43,42
44,21
44,23
44,122
45,46
46,45
46,55
47,68
47,70
48,50
48,69
49,8
49,70
50,7
50,48
51,2
51,7
51,52
52,51
52,61
53,8
54,5
54,6
55,46
55,56
56,4
56,55
57,4
57,62
58,5
58,64
59,62
59,65
60,64
60,66
61,52
61,67
62,57
62,59
63,6
63,37
63,67
63,115
64,58
64,60
64,90
65,59
65,66
66,60
66,65
67,61
67,63
68,47
68,69
69,48
69,68
70,47
70,49
70,122
71,72
72,71
72,81
73,94
73,96
74,76
74,95
75,13
75,96
76,12
76,74
77,2
77,12
77,78
78,77
78,87
79,13
80,10
80,11
81,72
81,82
82,9
82,81
83,9
83,88
84,10
84,90
85,88
85,91
86,90
86,92
87,78
87,93
88,83
88,85
89,11
89,37
89,93
89,115
90,38
90,64
90,84
90,86
90,116
91,85
91,92
92,86
92,91
93,87
93,89
94,73
94,95
95,74
95,94
96,73
96,75
96,122
97,98
98,97
98,107
99,120
99,122
100,102
100,121
101,18
101,122
102,17
102,100
103,17
103,104
104,103
104,113
105,18
106,15
106,16
107,98
107,108
108,14
108,107
109,14
109,114
110,15
110,116
111,114
111,117
112,116
112,118
113,104
113,119
114,109
114,111
115,16
115,63
115,89
115,119
116,90
116,110
116,112
117,111
117,118
118,112
118,117
119,113
119,115
120,99
120,121
121,100
121,120
122,44
122,70
122,96
122,99
122,101
