0,5
0,48
0,56
0,72
1,26
1,31
1,39
2,28
2,30
3,19
3,22
3,30
3,33
4,5
4,17
4,40
5,0
5,4
5,34
5,39
6,7
6,10
6,36
6,38
7,6
7,9
7,38
7,41
8,42
8,47
9,7
9,10
9,44
9,46
10,6
10,9
10,46
10,49
11,50
11,55
12,13
12,52
12,54
13,12
13,25
13,54
13,57
14,58
14,63
15,16
15,60
15,62
16,15
16,25
16,62
16,65
17,4
17,31
17,39
17,66
17,71
18,28
18,68
18,70
19,3
19,30
19,70
19,73
20,31
20,39
20,74
20,79
21,28
21,76
21,78
22,3
22,30
22,78
22,81
23,82
23,87
24,25
24,84
24,86
25,13
25,16
25,24
25,86
25,89
26,1
26,27
27,26
27,29
28,2
28,18
28,21
28,29
29,27
29,28
30,2
30,3
30,19
30,22
31,1
31,17
31,20
31,32
31,47
31,55
31,71
31,87
32,31
33,3
33,41
33,49
33,57
33,65
33,81
33,89
34,5
34,35
35,34
35,37
36,6
36,37
37,35
37,36
38,6
38,7
39,1
39,5
39,17
39,20
39,40
39,47
39,55
39,71
39,87
40,4
40,39
41,7
41,33
41,73
41,89
42,8
42,43
43,42
43,45
44,9
44,45
45,43
45,44
46,9
46,10
47,8
47,31
47,39
47,48
47,63
47,79
48,0
48,47
49,10
49,33
49,73
49,89
50,11
50,51
51,50
51,53
52,12
52,53
53,51
53,52
54,12
54,13
55,11
55,31
55,39
55,56
56,0
56,55
57,13
57,33
58,14
58,59
59,58
59,61
60,15
60,61
61,59
61,60
62,15
62,16
63,14
63,47
63,64
64,63
65,16
65,33
66,17
66,67
67,66
67,69
68,18
68,69
69,67
69,68
70,18
70,19
71,17
71,31
71,39
71,72
72,0
72,71
73,19
73,41
73,49
74,20
74,75
75,74
75,77
76,21
76,77
77,75
77,76
78,21
78,22
79,20
79,47
79,80
80,79
81,22
81,33
82,23
82,83
83,82
83,85
84,24
84,85
85,83
85,84
86,24
86,25
87,23
87,31
87,39
87,88
88,87
89,25
89,33
89,41
89,49
