Id,Label
0,0
1,1
2,1
3,0
4,1
5,1
6,2
7,2
8,2
9,1
10,1
11,0
12,2
13,2
14,2
15,0
16,2
17,1
18,0
19,1
20,1
21,1
22,0
23,1
24,0
25,0
26,1
27,1
28,0
29,2
30,2
31,1
32,1
33,1
34,1
35,1
36,0
37,2
38,0
39,2
40,1
41,0
42,2
43,0
44,0
45,1
46,1
47,1
48,1
49,1
50,1
51,2
52,2
53,2
54,0
55,0
56,1
57,1
58,1
59,1
60,0
61,1
62,1
63,1
64,2
65,1
66,0
67,0
68,2
69,0
70,2
71,2
72,2
73,1
74,2
75,1
76,2
77,0
78,1
79,1
80,1
81,0
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,0
91,1
92,1
93,2
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,2
112,2
113,1
114,1
115,1
116,1
117,1
118,0
119,1
120,1
121,2
122,1
123,1
124,1
125,1
126,1
127,2
128,0
129,1
130,1
131,1
132,2
133,1
134,2
135,1
136,1
137,1
138,2
139,1
140,1
141,1
142,0
143,1
144,1
145,0
146,1
147,1
148,1
149,1
150,1
151,1
152,1
153,1
154,1
155,1
156,0
157,1
158,1
159,0
160,0
161,1
162,1
163,1
164,1
165,1
166,1
167,1
168,1
169,1
170,1
171,2
172,2
173,2
174,1
175,0
176,1
177,1
178,1
179,0
180,2
181,2
182,2
183,1
184,1
185,0
186,0
187,0
188,0
189,0
190,1
191,1
192,0
193,1
194,1
195,0
196,1
197,2
198,1
199,1
200,1
201,1
202,0
203,2
204,2
205,1
206,1
207,2
208,1
209,1
210,0
211,2
212,2
213,1
214,1
215,2
216,0
217,1
218,2
